,VT,VTI,VIG,VEA,VWO,BND,UCI,GLD,SWED-A.ST,VOLV-B.ST,LIFCO-B.ST,VIT-B.ST,IAR-B.ST,SINCH.ST,ELAN-B.ST,ALFA.ST,INDT.ST,HUSQ-B.ST,LAMM-B.ST,CLAS-B.ST,MCAP.ST,BRE2.ST,INWI.ST,BETS-B.ST,SHOT.ST,KNOW.ST,EVO.ST,SEB-A.ST,ASPIRE.ST,PDX.ST,CTM.ST,HM-B.ST,VITR.ST,BOL.ST,KAMBI.ST,HUM.ST,SCA-A.ST,ATCO-A.ST,WISE.ST,GLOBAL.ST,NTU1L.VS,PZV1L.VS,NCN1T.TL,GRG1L.VS,TKM1T.TL,TEL1L.VS,APG1L.VS,GZE1R.RG,OLF1R.RG,MDARA.RG,PFE,MSFT,IBM,O,MMM,T,MCD,GNTX,KIE.L,SWJ.DE,TOT,LI.PA,HPT,MDT,WMT,VAW,IYM,MXI,RXI,PEZ,VCR,VFH,IYG,IXG,VNQ,TAO,RWX,RWO,VDC,KXI,RHS,VHT,IYH,IXJ,IHI,PTH,HLT.PA,XBI,XLV,XLU,IDU,VPU,PUI,JXI,RYU,UPW,VOX,IYZ,TEL.PA,XLE,VDE,IYE,XEG.TO,IXC,PXE,XOP,XES,XSER.L,TAN,XLI,VIS,IYT,ITA,EXI,RGI,XSNR.L,XLK,IYW,VGT,IGV,QTEC,PSI
Price/Earnings,16.9,19.6,24.6,14.63,13.12,0.0,0.0,0.0,7.384838851828749,9.085224099674658,30.294080345572354,39.9712113082955,36.12468493150685,42.27784724388396,11.280023631350925,17.673029962381058,25.24958888076079,30.83094216237624,20.229739910313903,76.50848308115543,2869.568,23.940816361127588,7.304575144508671,5.767506759859191,11.91050556379822,15.763900369913687,433.05749571052,8.458515154961528,90.81485468711352,40.87541745071115,81.78819946773984,21.815380503471385,58.639839262246646,9.298158329758266,525.3311550213892,11.27607,1.6027775785733807,2.4305516969518854,7.934330217539089,2.2582448573324485,9.731717451523545,19.30224567788899,8.914985507246376,6.237168788520301,10.811877784348512,12.461740413893967,13.667685393258427,15.842763549731984,8.767912403317492,19.0153945162105,18.10621670544607,27.449726743486234,14.51117666060495,66.18117388219376,17.968191908827816,14.01419942525555,26.98684133878433,16.128484447984984,257.6381640778923,14.933244479371316,11.998656283152192,10.532736097663328,21.99348530694434,32.16125857831138,50.122377691154426,16.97,16.07,15.57,18.96,28.0,22.88,12.43,14.24,12.2,30.56,6.81,12.56,18.55,23.31,22.95,20.8,22.41,22.88,23.99,38.49,39.68,27.56,0.0,22.1,23.38,23.15,23.52,25.14,19.81,23.07,23.38,21.27,19.73,20.5,13.78,12.38,14.98,11.93,13.9,6.59,4.85,0.0,12.87,20.28,19.31,19.35,18.01,23.2,18.32,18.99,21.48,22.76,22.78,23.17,35.27,21.57,17.44
Price/Book,2.04,2.92,4.52,1.44,1.63,0.0,0.0,0.0,1.2094474307343968,2.302494301948573,5.836987751398761,6.198922734026746,5.903128153380424,4.161034381428151,1.0361766361357008,3.181339704924059,5.326569435637286,2.671228370287519,0.9457688356770925,3.359011728780623,5.586348361192337,14.025641025641027,0.8893748266127057,1.5405102751127389,1.28217781067522,3.112110986126734,44.98191681735985,1.3850692080780576,35.98183881952327,15.727241418895648,16.71201814058957,6.363789445323814,11.349297876670512,1.7178198360103334,83.65243004418262,1.2853976852991875,1.622123767328855,8.625996152789227,2.77046783625731,1.0773308387901466,3.32512315270936,1.2433862433862433,1.0745614035087718,1.2936046511627906,1.6221642240513954,2.2896281800391387,1.9663512092534177,1.3702384214853385,0.818426856162705,3.2807839795483598,3.409918744746427,10.536261109866308,7.17792951099508,2.722886360362956,9.532150396531065,1.472862070332633,-23.479812625474015,3.708857372223709,20.03740612362796,2.7143517804840447,1.1769945002337956,0.905569734274133,1.537223838108794,2.9553804376763755,4.740911667071492,2.21,1.6,1.59,2.55,5.35,4.36,1.32,1.81,1.18,2.69,0.72,1.05,1.58,4.35,3.88,3.19,3.94,4.01,3.77,4.55,8.82,3.79,4.16,3.89,2.25,2.13,2.23,2.39,1.89,2.2,2.22,2.89,2.8,1.55,1.48,1.32,1.53,0.95,1.4,0.95,0.66,0.77,1.17,1.69,4.23,3.67,3.23,4.44,2.88,3.87,3.18,7.36,6.21,6.72,7.96,4.69,3.31
Price/Sales,1.4,1.91,1.82,0.99,1.18,0.0,0.0,0.0,3.58146,0.6849228,3.418066,3.4416547,18.532422872402726,1.7130331,0.26808023,1.8643794,1.9869536,1.1262047,0.53612167,0.6851489,2.326991,1.2111609,0.47154775,1.2875876,0.43659544,1.0780559,211.66447206540326,4.4275875,8.600914931246926,12.273234,14.758239839302865,1.4268054,14.004389,1.3168292,30.205095457846287,0.39599046,2.844223,3.7216523,0.29595894,0.36463863,0.30861141043360113,0.24846175829839068,0.17651834196162944,0.5136539858043055,0.47419792,3.9919955998032277,0.6055192204080677,2.336667525592073,0.5510111972639321,0.16888629389304036,3.7635798,8.716863,1.6267042,17.183064,2.9912503,1.4791901,7.6756372,3.8141456,0.052594364,133.54180421185785,0.7525519,6.550829,1.784255,4.856805,0.64305156,1.24,1.42,1.13,1.15,1.87,1.3,2.18,3.83,1.72,5.2,1.19,5.46,6.32,1.28,1.46,1.09,1.74,1.99,2.0,4.96,4.97,3.38,2.2,1.68,2.56,2.39,2.49,2.59,1.5,2.21,2.47,2.48,1.98,1.07,0.92,0.77,0.96,1.06,0.84,0.58,0.48,0.46,0.62,1.43,1.66,1.44,1.01,1.95,1.26,1.53,1.1,4.25,4.03,3.56,7.33,3.74,2.66
Price/Cashflow,10.8,12.81,15.79,8.98,8.56,0.0,0.0,0.0,7.395449653791671,11.503208790127351,31.61470485633803,44.58558547255468,37.31258155251142,42.27525758748796,11.64345218870843,17.60291434868856,25.43823494736842,38.950160672712286,22.469874185022025,84.76516826815643,64.97135094339623,23.940815034495678,7.2128508493150685,6.535217858087018,11.840236365781712,15.075000021556834,433.05747692307693,8.733834191752399,89.08500024734109,41.17269321398905,81.78820303777749,24.89173257793234,58.45110398877363,9.298083248437717,525.6383491546139,11.322095281632652,16.897436230664116,22.49872824289912,7.934330387491502,2.284850297007539,9.731717082179133,19.93167788898999,8.04938811829364,6.113362781168534,10.811877784348512,12.461739524680073,13.667685393258427,15.842763549731984,8.76791203056565,19.0153945162105,18.064105260220057,27.955048853007135,14.519494977416027,66.00256010181076,17.92128692149916,13.604724100035082,26.98684269736509,16.122660500868797,2.5536495367231637,14.881625709401709,12.056337332640693,8.582483475556419,21.993350145907588,32.02984618666667,46.39833320072434,10.74,11.0,9.04,11.66,16.04,13.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.93,15.3,14.11,15.83,15.99,15.46,26.49,31.05,15.31,0.0,15.52,10.09,9.65,10.14,10.74,6.95,9.55,10.07,9.85,8.4,3.91,6.55,5.66,6.92,3.95,6.11,3.24,2.28,4.74,4.93,7.27,13.77,12.77,7.29,18.79,12.79,13.41,13.59,15.18,15.72,15.54,24.62,13.74,11.46
